Order_ID,Order_Date,Ship_Date,Region,Country,State,Category,Sub_Category,Customer_Segment,Sales,Quantity,Discount,Profit
AMZ100016,2023-05-30,2023-03-07,West,India,Maharashtra,Electronics,Footwear,Corporate,40316.53,8,0.45,-12094.96
AMZ100017,2023-11-05,2023-06-27,West,India,Karnataka,Books,Footwear,Corporate,3758.58,6,0.44,-1089.99
AMZ100018,2023-09-15,2023-01-04,South,India,Tamil Nadu,Books,Skincare,Consumer,34782.35,5,0.28,-4521.71
AMZ100019,2023-12-10,2023-05-23,East,India,Karnataka,Home & Kitchen,Furniture,Corporate,28808.93,1,0.16,-288.09
AMZ100020,2023-10-21,2023-06-08,East,India,Telangana,Home & Kitchen,Mobiles,Consumer,45419.43,9,0.15,0.0
AMZ100021,2023-07-11,2023-11-21,Central,India,Telangana,Beauty,Footwear,Small Business,6562.83,3,0.02,853.17
AMZ100022,2023-10-04,2023-05-27,North,India,Delhi,Fashion,Clothing,Corporate,26934.79,3,0.41,-7003.05
AMZ100023,2023-06-10,2023-10-21,East,India,Kerala,Home & Kitchen,Skincare,Corporate,44033.4,2,0.23,-3522.67
AMZ100024,2023-11-10,2023-06-03,North,India,Maharashtra,Books,Cookware,Corporate,20796.18,4,0.16,-207.96
AMZ100025,2023-01-22,2023-07-13,West,India,Delhi,Home & Kitchen,Furniture,Small Business,24358.75,2,0.24,-2192.29
AMZ100026,2023-09-10,2023-03-15,North,India,Kerala,Electronics,Laptops,Corporate,3987.8,9,0.41,-1036.83
AMZ100027,2023-08-24,2023-11-02,West,India,Delhi,Fashion,Laptops,Consumer,14268.11,7,0.06,1284.13
AMZ100028,2023-12-11,2023-12-11,South,India,Delhi,Beauty,Mobiles,Small Business,16563.08,8,0.43,-4637.66
AMZ100029,2023-02-18,2023-05-21,South,India,Maharashtra,Electronics,Clothing,Small Business,47283.56,3,0.45,-14185.07
AMZ100030,2023-02-28,2023-07-07,Central,India,Maharashtra,Electronics,Footwear,Small Business,14492.03,6,0.47,-4637.45
AMZ100031,2023-06-19,2023-10-21,East,India,Gujarat,Fashion,Laptops,Small Business,23313.0,6,0.2,-1165.65
AMZ100032,2023-07-07,2023-03-03,Central,India,Karnataka,Beauty,Mobiles,Small Business,33729.57,1,0.11,1349.18
AMZ100033,2023-09-28,2023-07-18,West,India,Karnataka,Books,Cookware,Consumer,8528.08,6,0.19,-341.12
AMZ100034,2023-07-09,2023-10-23,Central,India,Gujarat,Beauty,Skincare,Small Business,24578.9,3,0.17,-491.58
AMZ100035,2023-06-24,2023-11-16,North,India,Gujarat,Home & Kitchen,Clothing,Corporate,37057.68,3,0.09,2223.46
AMZ100036,2023-02-20,2023-10-30,West,India,Telangana,Electronics,Clothing,Small Business,43409.33,3,0.3,-6511.4
AMZ100037,2023-12-30,2023-12-11,South,India,Kerala,Home & Kitchen,Fiction,Small Business,31499.83,8,0.24,-2834.98
AMZ100038,2023-02-24,2023-01-12,East,India,Delhi,Books,Mobiles,Small Business,33618.15,5,0.43,-9413.08
AMZ100039,2023-09-01,2023-03-04,West,India,Gujarat,Home & Kitchen,Mobiles,Small Business,6751.03,4,0.02,877.63
AMZ100040,2023-11-16,2023-11-30,West,India,Tamil Nadu,Beauty,Fiction,Small Business,47315.94,9,0.32,-8043.71
AMZ100041,2023-05-11,2023-08-15,North,India,Karnataka,Home & Kitchen,Skincare,Consumer,7062.42,9,0.38,-1624.36
AMZ100042,2023-11-03,2023-06-03,East,India,Gujarat,Books,Footwear,Consumer,38846.31,1,0.38,-8934.65
AMZ100043,2023-05-15,2023-07-19,South,India,Tamil Nadu,Books,Mobiles,Small Business,13608.41,2,0.44,-3946.44
AMZ100044,2023-01-21,2023-02-22,West,India,Tamil Nadu,Books,Fiction,Consumer,46712.86,8,0.36,-9809.7
AMZ100045,2023-11-25,2023-09-18,West,India,Tamil Nadu,Beauty,Footwear,Corporate,36138.0,5,0.46,-11202.78
AMZ100046,2023-06-16,2023-03-01,North,India,Telangana,Books,Skincare,Small Business,37813.78,7,0.17,-756.28
AMZ100047,2023-10-01,2023-03-14,Central,India,Telangana,Electronics,Footwear,Corporate,11343.43,1,0.25,-1134.34
AMZ100048,2023-03-30,2023-05-29,South,India,Tamil Nadu,Books,Furniture,Corporate,22430.48,5,0.01,3140.27
AMZ100049,2023-11-12,2023-12-16,East,India,Kerala,Home & Kitchen,Clothing,Small Business,31081.75,3,0.0,4662.26
AMZ100050,2023-01-14,2023-03-05,West,India,Telangana,Home & Kitchen,Cookware,Corporate,38613.69,2,0.12,1158.41
AMZ100051,2023-08-30,2023-11-07,West,India,Delhi,Home & Kitchen,Clothing,Corporate,5645.99,2,0.05,564.6
AMZ100052,2023-09-22,2023-09-01,South,India,Tamil Nadu,Beauty,Clothing,Corporate,48137.08,9,0.13,962.74
AMZ100053,2023-12-12,2024-01-02,Central,India,Delhi,Home & Kitchen,Furniture,Small Business,44565.92,4,0.09,2673.96
AMZ100054,2023-02-22,2023-11-27,West,India,Delhi,Beauty,Footwear,Small Business,13882.26,4,0.01,1943.52
AMZ100055,2023-12-06,2023-04-18,South,India,Tamil Nadu,Beauty,Footwear,Corporate,41226.63,7,0.45,-12367.99
AMZ100056,2023-04-02,2023-08-15,North,India,Karnataka,Books,Mobiles,Small Business,26157.03,2,0.0,3923.55
AMZ100057,2023-09-21,2023-11-10,Central,India,Kerala,Electronics,Furniture,Small Business,23359.42,3,0.37,-5139.07
AMZ100058,2023-02-04,2023-08-07,East,India,Tamil Nadu,Books,Mobiles,Corporate,16064.49,3,0.08,1124.51
AMZ100059,2023-07-25,2023-08-30,West,India,Tamil Nadu,Books,Furniture,Small Business,29257.95,6,0.46,-9069.96
AMZ100060,2023-03-22,2023-09-17,South,India,Telangana,Beauty,Mobiles,Consumer,36629.51,3,0.45,-10988.85
AMZ100061,2023-02-19,2023-09-20,North,India,Tamil Nadu,Beauty,Laptops,Small Business,20841.18,5,0.33,-3751.41
AMZ100062,2023-12-26,2023-01-06,East,India,Karnataka,Home & Kitchen,Fiction,Consumer,31646.35,4,0.34,-6012.81
AMZ100063,2023-01-02,2023-09-19,South,India,Telangana,Home & Kitchen,Clothing,Corporate,35115.99,3,0.0,5267.4
AMZ100064,2023-02-23,2023-02-24,South,India,Maharashtra,Books,Clothing,Small Business,35700.53,8,0.49,-12138.18
AMZ100065,2023-04-16,2023-02-17,East,India,Maharashtra,Fashion,Skincare,Corporate,3072.32,3,0.44,-890.97
AMZ100066,2023-09-17,2023-08-04,North,India,Delhi,Fashion,Cookware,Corporate,43057.52,6,0.45,-12917.26
AMZ100067,2023-11-06,2023-06-27,North,India,Kerala,Home & Kitchen,Fiction,Corporate,23183.54,7,0.33,-4173.04
AMZ100068,2023-07-10,2023-01-10,Central,India,Delhi,Fashion,Footwear,Corporate,13489.6,7,0.17,-269.79
AMZ100069,2023-08-06,2023-04-10,West,India,Karnataka,Home & Kitchen,Cookware,Corporate,12467.34,2,0.45,-3740.2
AMZ100070,2023-02-13,2023-01-21,East,India,Gujarat,Beauty,Laptops,Small Business,24409.2,3,0.15,0.0
AMZ100071,2023-06-11,2023-08-30,East,India,Kerala,Books,Skincare,Consumer,44398.16,4,0.28,-5771.76
AMZ100072,2023-07-21,2023-03-03,East,India,Maharashtra,Electronics,Cookware,Small Business,19228.21,7,0.05,1922.82
AMZ100073,2023-09-27,2023-06-28,North,India,Delhi,Books,Skincare,Small Business,37611.42,2,0.46,-11659.54
AMZ100074,2023-12-17,2023-12-05,West,India,Maharashtra,Home & Kitchen,Clothing,Small Business,5292.53,3,0.07,423.4
AMZ100075,2023-10-31,2023-03-04,Central,India,Karnataka,Home & Kitchen,Footwear,Small Business,24064.81,7,0.11,962.59
AMZ100076,2023-09-28,2023-05-26,South,India,Karnataka,Books,Laptops,Consumer,49588.46,7,0.28,-6446.5
AMZ100077,2023-08-03,2023-08-05,South,India,Gujarat,Home & Kitchen,Clothing,Small Business,38636.67,3,0.38,-8886.43
AMZ100078,2023-09-09,2023-01-04,East,India,Gujarat,Fashion,Fiction,Corporate,10921.16,1,0.31,-1747.39
AMZ100079,2023-07-09,2023-06-10,West,India,Telangana,Fashion,Mobiles,Small Business,25321.35,3,0.12,759.64
AMZ100080,2023-10-23,2023-08-16,North,India,Kerala,Home & Kitchen,Furniture,Small Business,12064.43,5,0.0,1809.66
AMZ100081,2023-08-01,2023-09-27,West,India,Karnataka,Home & Kitchen,Laptops,Consumer,20773.27,7,0.38,-4777.85
AMZ100082,2023-07-27,2023-05-01,West,India,Delhi,Fashion,Footwear,Consumer,39114.16,4,0.49,-13298.81
AMZ100083,2023-08-25,2023-03-31,North,India,Maharashtra,Home & Kitchen,Skincare,Corporate,38675.63,1,0.4,-9668.91
AMZ100084,2023-12-04,2023-11-26,East,India,Tamil Nadu,Home & Kitchen,Cookware,Small Business,11790.97,6,0.23,-943.28
AMZ100085,2023-02-22,2023-03-10,West,India,Gujarat,Books,Fiction,Small Business,46150.05,2,0.45,-13845.02
AMZ100086,2023-10-07,2023-12-24,South,India,Tamil Nadu,Electronics,Cookware,Small Business,29832.13,3,0.2,-1491.61
AMZ100087,2023-08-05,2023-04-09,North,India,Delhi,Fashion,Laptops,Corporate,19306.25,4,0.26,-2123.69
AMZ100088,2023-09-09,2023-09-25,Central,India,Gujarat,Books,Fiction,Consumer,25345.81,6,0.24,-2281.12
AMZ100089,2023-07-07,2023-04-16,East,India,Tamil Nadu,Electronics,Footwear,Corporate,30451.03,6,0.22,-2131.57
AMZ100090,2023-02-10,2023-11-20,North,India,Kerala,Home & Kitchen,Laptops,Small Business,28214.58,7,0.39,-6771.5
AMZ100091,2023-06-06,2023-05-04,Central,India,Delhi,Home & Kitchen,Footwear,Consumer,24577.05,5,0.26,-2703.48
AMZ100092,2023-01-15,2023-01-30,Central,India,Maharashtra,Books,Cookware,Consumer,25494.17,7,0.16,-254.94
AMZ100093,2023-10-28,2023-05-18,West,India,Kerala,Home & Kitchen,Clothing,Corporate,9232.39,2,0.13,184.65
AMZ100094,2023-03-06,2023-07-15,West,India,Delhi,Beauty,Fiction,Consumer,40730.28,1,0.02,5294.94
AMZ100095,2023-12-11,2023-08-15,West,India,Telangana,Books,Mobiles,Consumer,27317.14,8,0.29,-3824.4
AMZ100096,2023-11-23,2023-11-29,North,India,Gujarat,Electronics,Clothing,Small Business,6988.45,1,0.11,279.54
AMZ100097,2023-01-09,2023-06-20,North,India,Karnataka,Books,Mobiles,Small Business,38424.78,2,0.07,3073.98
AMZ100098,2023-12-10,2023-01-10,East,India,Maharashtra,Fashion,Cookware,Consumer,46655.98,6,0.33,-8398.08
AMZ100099,2023-05-09,2023-02-10,West,India,Kerala,Books,Skincare,Consumer,47391.69,1,0.34,-9004.42
AMZ100100,2023-05-16,2023-01-26,Central,India,Kerala,Home & Kitchen,Fiction,Corporate,18766.38,3,0.38,-4316.27
AMZ100101,2023-03-04,2023-09-19,South,India,Tamil Nadu,Home & Kitchen,Clothing,Corporate,7208.09,7,0.25,-720.81
AMZ100102,2023-05-19,2023-08-15,East,India,Gujarat,Beauty,Clothing,Consumer,26160.78,8,0.45,-7848.23
AMZ100103,2023-03-22,2023-05-05,North,India,Karnataka,Beauty,Laptops,Small Business,6074.16,4,0.47,-1943.73
AMZ100104,2023-06-12,2023-02-08,East,India,Delhi,Beauty,Furniture,Consumer,46732.38,3,0.4,-11683.1
AMZ100105,2023-10-16,2023-11-25,East,India,Karnataka,Electronics,Cookware,Consumer,9587.19,1,0.32,-1629.82
AMZ100106,2023-09-18,2023-09-09,East,India,Gujarat,Beauty,Footwear,Small Business,13011.91,9,0.15,0.0
AMZ100107,2023-08-19,2023-06-26,East,India,Gujarat,Electronics,Cookware,Small Business,20628.51,6,0.49,-7013.69
AMZ100108,2023-02-10,2023-04-01,South,India,Telangana,Beauty,Footwear,Corporate,19466.64,6,0.14,194.67
AMZ100109,2023-01-28,2023-02-07,West,India,Telangana,Electronics,Fiction,Corporate,39835.81,9,0.1,1991.79
AMZ100110,2023-05-15,2023-11-13,Central,India,Karnataka,Books,Footwear,Corporate,23087.68,1,0.22,-1616.14
AMZ100111,2023-07-20,2023-06-26,East,India,Delhi,Books,Skincare,Corporate,8953.03,6,0.03,1074.36
AMZ100112,2023-11-24,2023-10-12,East,India,Karnataka,Home & Kitchen,Mobiles,Small Business,13726.89,5,0.49,-4667.14
AMZ100113,2023-09-25,2023-03-23,East,India,Gujarat,Electronics,Footwear,Consumer,25701.11,6,0.29,-3598.16
AMZ100114,2023-02-02,2023-04-25,West,India,Gujarat,Fashion,Footwear,Corporate,7798.97,8,0.28,-1013.87
AMZ100115,2023-02-17,2023-02-10,North,India,Tamil Nadu,Home & Kitchen,Laptops,Corporate,30776.96,5,0.33,-5539.85
AMZ100116,2023-03-03,2023-10-29,North,India,Telangana,Books,Clothing,Small Business,28504.49,2,0.25,-2850.45
AMZ100117,2023-08-04,2023-08-13,South,India,Tamil Nadu,Electronics,Cookware,Small Business,35877.76,2,0.02,4664.11
AMZ100118,2023-10-20,2023-11-15,North,India,Maharashtra,Beauty,Cookware,Consumer,46916.38,5,0.31,-7506.62
AMZ100119,2023-04-09,2023-12-16,East,India,Gujarat,Fashion,Fiction,Consumer,45656.6,3,0.36,-9587.89
AMZ100120,2023-06-21,2023-04-26,East,India,Tamil Nadu,Books,Fiction,Small Business,47330.74,3,0.21,-2839.84
AMZ100121,2023-12-26,2023-07-06,East,India,Karnataka,Home & Kitchen,Skincare,Corporate,12613.42,8,0.38,-2901.09
AMZ100122,2023-08-02,2023-11-20,South,India,Telangana,Electronics,Footwear,Corporate,7012.48,7,0.11,280.5
AMZ100123,2023-02-04,2023-02-26,East,India,Telangana,Fashion,Furniture,Corporate,15462.7,1,0.11,618.51
AMZ100124,2023-08-15,2023-02-10,North,India,Delhi,Electronics,Cookware,Consumer,44806.72,5,0.08,3136.47
AMZ100125,2023-04-11,2023-12-21,West,India,Karnataka,Beauty,Fiction,Corporate,48616.65,9,0.19,-1944.67
AMZ100126,2023-05-11,2023-02-10,West,India,Delhi,Home & Kitchen,Footwear,Corporate,43036.59,4,0.42,-11619.88
AMZ100127,2023-09-14,2023-12-14,Central,India,Tamil Nadu,Electronics,Fiction,Small Business,5945.88,1,0.41,-1545.93
AMZ100128,2023-01-05,2023-08-26,North,India,Kerala,Books,Skincare,Corporate,47397.69,8,0.19,-1895.91
AMZ100129,2023-08-06,2023-10-17,East,India,Maharashtra,Home & Kitchen,Mobiles,Small Business,21456.22,5,0.29,-3003.87
AMZ100130,2023-09-12,2023-09-20,West,India,Karnataka,Books,Mobiles,Corporate,960.86,2,0.36,-201.78
AMZ100131,2023-12-25,2023-08-05,North,India,Karnataka,Electronics,Fiction,Consumer,22398.49,1,0.12,671.95
AMZ100132,2023-10-10,2023-05-28,West,India,Karnataka,Home & Kitchen,Mobiles,Corporate,2780.42,3,0.08,194.63
AMZ100133,2023-07-26,2023-12-03,East,India,Delhi,Books,Fiction,Corporate,27421.96,9,0.49,-9323.47
AMZ100134,2023-01-15,2023-06-18,West,India,Tamil Nadu,Beauty,Footwear,Small Business,17258.42,1,0.31,-2761.35
AMZ100135,2023-12-12,2023-04-03,Central,India,Karnataka,Beauty,Laptops,Small Business,23935.03,4,0.49,-8137.91
AMZ100136,2023-02-11,2023-12-20,Central,India,Kerala,Electronics,Furniture,Small Business,30851.93,8,0.17,-617.04
AMZ100137,2023-06-28,2023-03-01,West,India,Karnataka,Home & Kitchen,Footwear,Corporate,43505.65,8,0.35,-8701.13
AMZ100138,2023-03-04,2023-03-01,North,India,Telangana,Fashion,Laptops,Corporate,33264.13,8,0.11,1330.57
AMZ100139,2023-12-18,2023-11-01,North,India,Maharashtra,Home & Kitchen,Laptops,Consumer,21985.42,8,0.13,439.71
AMZ100140,2023-08-19,2023-06-19,North,India,Telangana,Beauty,Cookware,Corporate,41061.68,4,0.26,-4516.78
AMZ100141,2023-08-29,2023-09-27,West,India,Telangana,Books,Footwear,Consumer,45326.32,8,0.16,-453.26
AMZ100142,2023-02-21,2023-12-30,North,India,Maharashtra,Fashion,Footwear,Small Business,6428.12,9,0.08,449.97
AMZ100143,2023-04-06,2023-02-15,East,India,Kerala,Electronics,Fiction,Small Business,26830.68,7,0.13,536.61
AMZ100144,2023-08-10,2023-12-12,Central,India,Tamil Nadu,Fashion,Laptops,Small Business,14583.34,2,0.02,1895.83
AMZ100145,2023-08-19,2023-07-01,East,India,Telangana,Electronics,Laptops,Consumer,2829.53,9,0.35,-565.91
AMZ100146,2023-08-25,2023-06-20,North,India,Tamil Nadu,Fashion,Laptops,Corporate,33593.06,8,0.25,-3359.31
AMZ100147,2023-05-23,2023-12-23,East,India,Telangana,Electronics,Fiction,Small Business,43207.15,5,0.05,4320.72
AMZ100148,2023-06-20,2023-07-11,North,India,Gujarat,Electronics,Cookware,Corporate,8563.68,3,0.09,513.82
AMZ100149,2023-01-29,2023-06-05,West,India,Maharashtra,Fashion,Footwear,Corporate,40714.48,7,0.05,4071.45
AMZ100150,2023-02-05,2023-07-08,East,India,Telangana,Fashion,Laptops,Small Business,42743.09,2,0.31,-6838.89
AMZ100151,2023-01-13,2023-01-08,West,India,Gujarat,Electronics,Mobiles,Consumer,45759.85,3,0.05,4575.98
AMZ100152,2023-06-09,2023-05-14,West,India,Delhi,Beauty,Footwear,Corporate,13631.61,9,0.38,-3135.27
AMZ100153,2023-11-23,2023-08-24,South,India,Gujarat,Fashion,Fiction,Small Business,45245.68,4,0.01,6334.4
AMZ100154,2023-07-06,2023-02-15,North,India,Karnataka,Home & Kitchen,Cookware,Corporate,16372.81,4,0.12,491.18
AMZ100155,2023-08-31,2023-11-11,Central,India,Telangana,Books,Mobiles,Corporate,27840.73,3,0.45,-8352.22
AMZ100156,2023-03-27,2023-09-07,North,India,Gujarat,Electronics,Fiction,Corporate,3000.12,5,0.36,-630.03
AMZ100157,2023-10-11,2023-02-01,Central,India,Tamil Nadu,Electronics,Clothing,Corporate,2672.11,3,0.04,293.93
AMZ100158,2023-03-07,2023-01-24,North,India,Delhi,Books,Footwear,Corporate,36158.47,9,0.41,-9401.2
AMZ100159,2023-06-19,2023-06-10,West,India,Kerala,Beauty,Clothing,Consumer,22501.76,3,0.25,-2250.18
AMZ100160,2023-02-14,2023-12-30,East,India,Telangana,Books,Fiction,Consumer,13186.47,2,0.42,-3560.35
AMZ100161,2023-03-03,2023-06-08,East,India,Karnataka,Fashion,Fiction,Small Business,9925.47,5,0.3,-1488.82
AMZ100162,2023-05-14,2023-02-09,South,India,Kerala,Books,Fiction,Consumer,33662.7,6,0.34,-6395.91
AMZ100163,2023-10-11,2023-03-24,Central,India,Gujarat,Electronics,Laptops,Consumer,519.88,1,0.5,-181.96
AMZ100164,2023-01-28,2023-12-23,Central,India,Kerala,Books,Cookware,Consumer,40391.61,6,0.12,1211.75
AMZ100165,2023-04-18,2023-09-16,Central,India,Kerala,Home & Kitchen,Laptops,Corporate,4422.86,3,0.31,-707.66
AMZ100166,2023-02-13,2023-07-26,West,India,Delhi,Fashion,Cookware,Corporate,9978.74,4,0.23,-798.3
AMZ100167,2023-12-06,2023-03-19,Central,India,Kerala,Books,Furniture,Small Business,19618.7,6,0.02,2550.43
AMZ100168,2023-10-13,2023-01-13,East,India,Kerala,Electronics,Laptops,Small Business,24500.51,8,0.01,3430.07
AMZ100169,2023-11-27,2023-10-23,West,India,Telangana,Fashion,Clothing,Small Business,18072.26,9,0.06,1626.5
AMZ100170,2023-05-08,2023-08-13,North,India,Delhi,Electronics,Cookware,Corporate,16375.25,6,0.32,-2783.79
AMZ100171,2023-12-14,2023-01-14,Central,India,Karnataka,Beauty,Laptops,Consumer,48213.84,7,0.28,-6267.8
AMZ100172,2023-08-19,2023-02-16,Central,India,Gujarat,Home & Kitchen,Footwear,Consumer,32258.19,5,0.28,-4193.56
AMZ100173,2023-07-09,2023-06-05,North,India,Delhi,Beauty,Fiction,Corporate,1659.93,9,0.02,215.79
AMZ100174,2023-08-13,2023-04-24,Central,India,Delhi,Home & Kitchen,Cookware,Small Business,21793.71,4,0.23,-1743.5
AMZ100175,2023-10-10,2023-08-22,North,India,Maharashtra,Books,Cookware,Small Business,43812.93,6,0.46,-13582.01
AMZ100176,2023-05-01,2023-01-18,West,India,Delhi,Fashion,Laptops,Small Business,15422.08,5,0.2,-771.1
AMZ100177,2023-04-26,2023-12-27,East,India,Maharashtra,Books,Furniture,Corporate,5180.54,1,0.31,-828.89
AMZ100178,2023-08-21,2023-08-12,North,India,Gujarat,Home & Kitchen,Laptops,Small Business,38040.05,5,0.39,-9129.61
AMZ100179,2023-09-16,2023-12-21,South,India,Kerala,Home & Kitchen,Skincare,Small Business,30497.68,5,0.39,-7319.44
AMZ100180,2023-12-25,2023-07-08,North,India,Telangana,Home & Kitchen,Clothing,Corporate,28730.47,9,0.26,-3160.35
AMZ100181,2023-07-17,2023-12-11,Central,India,Telangana,Electronics,Clothing,Consumer,3152.04,1,0.43,-882.57
AMZ100182,2023-05-17,2024-01-01,West,India,Gujarat,Fashion,Cookware,Corporate,7454.7,5,0.2,-372.74
AMZ100183,2023-11-14,2023-06-13,West,India,Gujarat,Books,Cookware,Corporate,31316.2,7,0.44,-9081.7
AMZ100184,2023-06-14,2023-11-23,North,India,Tamil Nadu,Books,Laptops,Corporate,10787.28,6,0.12,323.62
AMZ100185,2023-08-13,2023-03-16,East,India,Kerala,Beauty,Clothing,Corporate,25451.47,6,0.14,254.51
AMZ100186,2023-11-03,2023-08-22,South,India,Gujarat,Home & Kitchen,Clothing,Consumer,27471.64,7,0.03,3296.6
AMZ100187,2023-08-22,2023-08-13,West,India,Delhi,Home & Kitchen,Furniture,Small Business,14533.61,6,0.4,-3633.4
AMZ100188,2023-06-21,2023-11-16,Central,India,Telangana,Home & Kitchen,Footwear,Corporate,47447.05,5,0.21,-2846.82
AMZ100189,2023-06-01,2023-03-02,Central,India,Karnataka,Books,Furniture,Consumer,42201.97,5,0.11,1688.08
AMZ100190,2023-11-11,2023-12-02,East,India,Telangana,Beauty,Skincare,Small Business,36257.49,9,0.12,1087.72
AMZ100191,2023-06-09,2023-08-11,West,India,Maharashtra,Electronics,Mobiles,Small Business,4360.7,8,0.45,-1308.21
AMZ100192,2023-04-06,2023-02-07,North,India,Telangana,Fashion,Fiction,Small Business,5753.44,4,0.42,-1553.43
AMZ100193,2023-08-21,2023-10-06,Central,India,Tamil Nadu,Electronics,Furniture,Corporate,24892.68,4,0.28,-3236.05
AMZ100194,2023-06-29,2023-07-16,East,India,Kerala,Books,Skincare,Corporate,8455.31,5,0.31,-1352.85
AMZ100195,2023-04-23,2023-12-19,West,India,Gujarat,Home & Kitchen,Laptops,Small Business,48924.14,3,0.24,-4403.17
AMZ100196,2023-11-14,2023-08-31,West,India,Kerala,Fashion,Footwear,Small Business,8346.75,8,0.2,-417.34
AMZ100197,2023-02-21,2023-11-21,West,India,Gujarat,Books,Laptops,Small Business,24629.66,7,0.46,-7635.19
AMZ100198,2023-09-25,2023-08-08,West,India,Telangana,Books,Fiction,Small Business,18523.99,5,0.06,1667.16
AMZ100199,2023-10-22,2023-07-12,West,India,Karnataka,Books,Skincare,Small Business,32149.63,3,0.21,-1928.98
AMZ100200,2023-04-23,2023-01-18,Central,India,Karnataka,Fashion,Mobiles,Small Business,6887.3,5,0.17,-137.75
AMZ100201,2023-04-11,2023-01-13,East,India,Tamil Nadu,Fashion,Footwear,Consumer,21800.66,3,0.25,-2180.07
AMZ100202,2023-04-23,2023-07-13,West,India,Maharashtra,Beauty,Cookware,Small Business,14097.9,5,0.23,-1127.83
AMZ100203,2023-03-22,2023-01-23,South,India,Telangana,Beauty,Clothing,Corporate,44443.7,1,0.26,-4888.81
AMZ100204,2023-07-06,2023-05-01,South,India,Gujarat,Electronics,Furniture,Corporate,2508.99,6,0.07,200.72
AMZ100205,2023-04-23,2023-07-30,East,India,Telangana,Fashion,Skincare,Corporate,45729.51,4,0.26,-5030.25
AMZ100206,2023-01-02,2023-11-03,North,India,Tamil Nadu,Fashion,Laptops,Small Business,41733.21,4,0.12,1252.0
AMZ100207,2023-05-10,2023-09-28,North,India,Delhi,Fashion,Mobiles,Corporate,15229.75,8,0.09,913.78
AMZ100208,2023-08-08,2023-07-12,North,India,Delhi,Beauty,Clothing,Consumer,39569.89,2,0.03,4748.39
AMZ100209,2023-02-23,2023-06-25,South,India,Tamil Nadu,Books,Furniture,Small Business,2045.07,4,0.38,-470.37
AMZ100210,2023-12-09,2023-10-13,North,India,Gujarat,Home & Kitchen,Clothing,Corporate,48359.84,2,0.21,-2901.59
AMZ100211,2023-08-12,2023-07-24,Central,India,Kerala,Beauty,Furniture,Consumer,26566.45,1,0.31,-4250.63
AMZ100212,2023-08-13,2023-06-14,West,India,Tamil Nadu,Fashion,Skincare,Consumer,15512.41,3,0.36,-3257.61
AMZ100213,2023-05-06,2023-09-09,South,India,Gujarat,Beauty,Cookware,Corporate,18447.87,8,0.34,-3505.1
AMZ100214,2023-05-10,2023-08-16,East,India,Karnataka,Electronics,Footwear,Consumer,3787.06,6,0.24,-340.84
AMZ100215,2023-02-22,2023-01-08,East,India,Tamil Nadu,Fashion,Skincare,Corporate,49472.8,7,0.19,-1978.91
AMZ100216,2023-06-21,2023-01-30,West,India,Gujarat,Electronics,Clothing,Consumer,2444.95,2,0.19,-97.8
AMZ100217,2023-08-06,2023-02-03,South,India,Tamil Nadu,Fashion,Clothing,Small Business,32917.9,6,0.32,-5596.04
AMZ100218,2023-06-09,2023-05-15,North,India,Tamil Nadu,Beauty,Clothing,Small Business,22415.43,8,0.25,-2241.54
